account,order_number,order_full,item_id,title,item_url,qty_sold,qty_sold_original,line_instance,qty_available,price,price_text
primary,,,356150459669,Husqvarna Viking Designer Diamond Deluxe Instruction Manual,https://www.ebay.com/itm/356150459669,1,1,1,1,17.42,$17.42
primary,,,356123123255,Husqvarna Viking Opal 690Q 670 650 Instruction Manual,https://www.ebay.com/itm/356123123255,1,1,1,1,16.43,$16.43
primary,,,356885688988,Lowrance HDS PRO Instruction Manual for HDS 9 HDS 10 HDS 12 HDS 16 PRO,https://www.ebay.com/itm/356885688988,1,1,1,1,28.00,$28.00
primary,,,356094246527,Owners Manual for Fujifilm X-T200 Camera,https://www.ebay.com/itm/356094246527,1,1,1,1,24.59,$24.59
primary,,,356149066285,Kodak PixPro FZ43 Instruction Manual,https://www.ebay.com/itm/356149066285,1,1,1,1,19.36,$19.36
primary,,,357638714800,Nikon D7000 Reference / Instruction Manual : 348 Pages,https://www.ebay.com/itm/357638714800,1,1,1,1,35.00,$35.00
primary,,,356085408716,Nikon D5600 User Manual,https://www.ebay.com/itm/356085408716,1,1,1,1,16.34,$16.34
primary,,,357539463637,Tesla Model X Owner's Manual 2015-2020,https://www.ebay.com/itm/357539463637,1,1,1,1,33.02,$33.02
primary,,,356104766252,Owners Manual for Fujifilm X-T5 Camera XT5,https://www.ebay.com/itm/356104766252,1,1,1,1,47.82,$47.82
primary,,,356885837391,Owners Manual for Minolta MN67Z,https://www.ebay.com/itm/356885837391,1,1,1,1,22.41,$22.41
